id,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,priceClass
201,578,374,3,7,1,78,1,102,Low
202,952,578,2,2,1,38,2,136,Low
203,1173,612,5,5,1,39,2,221,Low
204,867,544,4,5,1,81,2,119,Low
205,1003,629,5,8,1,74,3,102,Low
206,697,459,1,2,2,59,2,85,Low
207,782,476,1,8,2,84,2,85,Low
208,680,340,1,3,1,54,1,136,Low
209,748,510,1,3,5,89,2,85,Low
210,731,731,6,7,1,91,2,85,Low
211,833,544,1,2,1,80,2,136,Low
212,867,527,5,9,1,81,2,102,Low
213,901,884,2,8,1,35,2,17,Low
214,612,340,3,3,1,84,1,153,Low
215,731,476,4,5,2,87,2,85,Low
216,340,204,4,4,2,79,1,34,Low
217,1547,884,3,5,4,43,3,187,Low
218,969,510,8,10,1,39,2,153,Low
219,544,323,1,2,2,82,1,85,Low
220,867,459,4,4,1,75,2,136,Low
221,731,731,3,6,1,37,2,17,Low
222,663,663,2,8,1,2049,1,17,Low
223,867,493,1,2,1,74,2,119,Low
224,748,476,4,6,2,90,2,85,Low
225,748,493,2,9,5,89,2,102,Low
226,765,476,2,5,1,72,2,102,Low
227,510,272,1,3,2,88,1,85,Low
228,629,612,1,1,4,35,1,102,Low
229,510,187,6,8,1,39,1,136,Low
230,748,459,1,1,1,78,2,102,Low
231,646,323,5,7,1,78,1,153,Low
232,680,306,1,10,2,38,1,119,Low
233,493,289,4,4,2,85,1,85,Low
234,544,306,1,1,5,79,1,102,Low
235,663,340,1,10,1,74,1,136,Low
236,646,323,5,9,1,54,1,119,Low
237,765,510,2,10,5,89,2,85,Low
238,289,170,2,3,2,82,1,51,Low
239,1054,782,3,7,1,79,4,85,Low
240,1275,731,2,9,1,55,3,170,Low
241,765,493,5,6,1,82,2,85,Low
242,935,493,10,10,4,44,2,204,Low
243,646,340,1,2,1,55,1,136,Low
244,544,544,2,5,4,36,2,153,Low
245,646,374,1,2,1,84,2,119,Low
246,646,340,2,2,1,60,1,136,Low
247,918,544,8,10,1,68,2,153,Low
248,476,238,3,7,1,50,1,85,Low
249,748,459,1,2,1,83,2,85,Low
250,578,357,2,5,5,78,1,17,Low
251,697,442,2,3,1,88,2,85,Low
252,527,306,1,3,2,90,1,102,Low
253,765,493,1,4,5,85,2,85,Low
254,1020,561,2,2,1,68,2,170,Low
255,544,323,2,10,2,85,1,85,Low
256,1020,731,5,6,1,75,3,102,Low
257,697,697,1,2,4,37,2,170,Low
258,731,323,7,10,1,43,1,136,Low
259,1258,765,5,8,1,62,3,170,Low
260,748,459,1,7,1,81,2,85,Low
261,731,459,1,4,1,79,2,85,Low
262,969,952,1,1,1,84,3,85,Low
263,816,476,4,6,1,75,2,102,Low
264,1105,1105,1,1,6,35,3,17,Low
265,765,408,1,1,2,76,2,119,Low
266,1003,646,7,7,1,79,3,102,Low
267,493,306,2,7,2,87,1,85,Low
268,578,578,2,2,1,2050,1,0,Low
269,629,595,7,9,4,37,1,17,Low
270,952,493,1,1,1,47,2,187,Low
271,663,629,1,1,4,37,1,17,Low
272,459,255,1,5,1,85,1,85,Low
273,612,306,3,9,5,64,1,153,Low
274,697,391,1,1,1,56,1,136,Low
275,765,408,3,3,2,91,1,153,Low
276,1105,1105,3,4,6,35,3,17,Low
277,901,510,2,10,1,71,2,136,Low
278,663,306,3,8,1,38,1,153,Low
279,663,663,2,4,6,36,1,170,Low
280,527,255,4,4,1,37,1,170,Low
281,1003,578,1,2,1,69,2,170,Low
282,510,255,1,1,1,72,1,119,Low
283,901,884,1,5,4,36,2,17,Low
284,527,289,4,8,1,78,1,85,Low
285,629,374,1,4,5,86,2,119,Low
286,765,510,7,8,5,88,2,85,Low
287,374,238,2,5,2,80,1,561,Low
288,697,289,1,3,4,40,1,170,Low
289,527,306,7,9,5,87,1,85,Low
290,867,493,4,6,1,62,2,136,Low
291,561,306,3,8,1,80,1,102,Low
292,969,714,1,9,4,74,3,102,Low
293,663,323,4,4,1,56,1,136,Low
294,1071,561,1,1,1,47,2,204,Low
295,1054,782,1,3,1,77,4,102,Low
296,918,544,6,8,1,65,2,153,Low
297,867,510,5,6,1,41,2,153,Low
298,1156,782,1,6,5,76,3,119,Low
299,714,459,2,10,2,92,2,85,Low
300,527,323,5,5,2,86,1,85,Low
301,1037,544,7,10,4,40,2,170,Low
302,901,884,6,6,1,36,2,17,Low
303,629,306,1,1,1,38,1,153,Low
304,544,306,5,7,1,74,1,102,Low
305,782,680,2,4,4,44,1,0,Low
306,1003,527,10,10,1,45,2,85,Low
307,646,323,2,3,1,50,1,170,Low
308,646,323,5,8,1,62,1,136,Low
309,918,544,3,10,1,60,2,153,Low
310,1088,510,1,7,1,43,1,187,Low
311,629,629,6,6,1,35,1,17,Low
312,918,459,10,10,6,35,2,102,Low
313,1683,884,1,5,1,44,3,204,Low
314,901,544,1,2,1,54,2,153,Low
315,1224,850,1,7,2,91,3,17,Low
316,867,510,1,10,1,63,2,136,Low
317,867,476,4,6,1,63,2,136,Low
318,1088,646,6,7,1,66,3,136,Low
319,986,561,2,7,2,92,2,136,Low
320,510,306,4,9,2,84,1,102,Low
321,1394,884,1,1,2,42,3,170,Low
322,901,544,3,4,1,74,2,153,Low
323,646,340,2,3,1,66,1,136,Low
324,1020,510,1,1,1,44,2,221,Low
325,510,306,8,9,1,85,1,85,Low
326,1020,731,6,10,1,76,3,102,Low
327,901,884,6,6,4,35,2,170,Low
328,986,561,4,5,1,53,2,170,Low
329,748,425,1,8,5,89,2,85,Low
330,1360,765,4,7,1,49,3,204,Low
331,765,476,7,9,1,80,2,85,Low
332,952,527,1,2,1,67,2,170,Low
333,680,357,6,6,1,55,1,136,Low
334,680,646,8,10,1,2049,1,17,Low
335,1037,646,1,1,1,78,3,136,Low
336,1003,544,1,3,1,39,2,204,Low
337,731,425,1,2,2,81,2,119,Low
338,935,374,1,2,4,38,1,238,Low
339,952,952,1,9,4,2050,2,0,Low
340,646,629,4,4,1,36,1,17,Low
341,731,731,7,9,1,37,1,17,Low
342,765,510,1,1,1,78,2,102,Low
343,578,323,6,8,1,63,1,136,Low
344,544,340,1,1,1,83,1,85,Low
345,884,561,2,2,6,46,2,119,Low
346,901,901,1,1,6,36,2,0,Low
347,1632,1632,1,3,2,37,2,170,Low
348,646,391,3,4,5,77,2,102,Low
349,986,595,3,3,2,92,2,136,Low
350,731,306,1,4,1,39,1,136,Low
351,646,323,4,10,1,37,1,119,Low
352,765,493,4,4,1,85,2,85,Low
353,816,306,1,2,1,39,1,204,Low
354,561,238,1,3,5,56,1,119,Low
355,918,527,4,6,4,40,2,153,Low
356,986,561,6,6,1,62,2,170,Low
357,850,527,3,3,2,115,2,85,Low
358,918,544,1,1,1,73,2,153,Low
359,1071,663,3,4,1,80,3,136,Low
360,578,17,4,4,1,35,2,17,Low
361,527,357,4,4,5,87,1,85,Low
362,884,493,1,2,5,72,2,136,Low
363,663,629,6,6,1,37,1,17,Low
364,663,255,1,3,4,46,1,136,Low
365,1139,714,4,4,1,36,3,136,Low
366,646,323,10,10,1,48,1,170,Low
367,935,680,2,5,2,88,3,85,Low
368,1547,680,6,10,4,41,2,255,Low
369,340,204,3,6,2,77,1,51,Low
370,918,544,4,9,1,54,2,153,Low
371,663,323,6,6,1,54,1,136,Low
372,969,561,4,4,1,61,2,153,Low
373,918,544,5,8,1,71,2,153,Low
374,952,697,3,4,2,86,3,85,Low
375,1003,493,2,2,1,44,2,0,Low
376,1037,714,2,4,1,82,3,102,Low
377,646,306,1,5,1,40,1,119,Low
378,867,510,7,9,1,65,2,136,Low
379,510,306,1,6,2,89,1,85,Low
380,1071,561,1,2,1,44,2,204,Low
381,544,306,3,6,1,75,1,102,Low
382,714,510,2,2,2,89,2,102,Low
383,629,612,1,2,1,37,1,170,Low
384,2329,1513,3,3,2,37,5,714,Low
385,459,323,3,5,6,35,1,68,Low
386,663,323,1,1,2,91,1,136,Low
387,1207,663,7,7,5,38,2,221,Low
388,1513,799,2,5,6,38,3,170,Low
389,595,323,1,4,1,84,1,153,Low
390,680,340,1,1,1,46,1,136,Low
391,697,340,1,1,1,57,1,136,Low
392,884,867,1,3,6,35,2,17,Low
393,629,374,5,5,5,88,1,119,Low
394,544,306,1,1,1,83,1,119,Low
395,663,629,4,10,4,35,1,153,Low
396,663,323,2,3,1,65,1,136,Low
397,1275,765,4,5,2,69,3,170,Low
398,1037,578,4,9,1,56,2,170,Low
399,816,527,4,5,1,83,2,136,Low
400,731,459,1,3,2,78,2,85,Low
401,1088,731,2,4,1,77,3,119,Low
402,833,493,2,4,1,90,2,136,Low
403,1054,646,3,3,1,75,3,136,Low
404,731,493,4,4,2,88,2,85,Low
405,595,323,7,8,5,76,1,153,Low
406,1037,544,1,5,1,42,2,204,Low
407,646,391,1,1,1,87,2,119,Low
408,850,850,4,8,1,36,2,17,Low
409,578,323,2,5,5,71,1,153,Low
410,1003,544,2,2,1,39,2,204,Low
411,731,459,1,1,2,85,2,85,Low
412,1241,850,1,3,1,72,3,102,Low
413,986,969,1,4,4,41,2,170,Low
414,663,323,2,3,2,79,1,136,Low
415,289,289,3,6,1,81,2,102,Low
416,1088,578,2,7,1,42,2,204,Low
417,697,408,9,10,2,81,2,85,Low
418,493,340,1,4,2,36,1,136,Low
419,986,663,4,5,1,83,3,119,Low
420,1224,731,9,10,1,67,3,170,Low
421,646,374,1,1,5,82,2,102,Low
422,272,204,1,2,2,88,1,0,Low
423,765,510,1,4,1,87,2,102,Low
424,1156,731,3,3,2,91,3,119,Low
425,1224,697,1,1,1,69,3,153,Low
426,544,306,1,9,1,77,1,102,Low
427,493,340,1,3,1,36,1,102,Low
428,697,289,1,5,1,40,1,170,Low
429,901,901,6,9,6,2050,2,0,Low
430,833,833,3,4,4,37,2,170,Low
431,629,629,1,1,1,36,1,17,Low
432,663,323,5,6,1,51,1,136,Low
433,884,561,3,3,1,80,3,85,Low
434,578,340,2,2,2,80,2,85,Low
435,544,340,1,1,1,89,1,85,Low
436,527,527,1,8,4,36,1,153,Low
437,901,544,2,8,1,51,2,153,Low
438,629,629,1,1,1,36,1,17,Low
439,867,510,1,1,1,46,2,153,Low
440,646,340,1,5,1,69,1,136,Low
441,544,323,4,4,2,81,1,102,Low
442,816,323,6,8,4,37,1,170,Low
443,612,289,2,3,2,65,1,153,Low
444,697,289,2,6,6,40,1,170,Low
445,646,646,5,6,1,36,1,17,Low
446,1768,901,1,8,4,44,3,204,Low
447,799,510,5,6,1,74,2,102,Low
448,884,510,2,9,1,39,1,153,Low
449,578,306,4,6,5,68,1,153,Low
450,425,221,2,6,1,72,1,102,Low
451,544,306,7,7,1,77,1,102,Low
452,544,2771,8,10,5,87,1,102,Low
453,969,629,3,6,2,91,2,153,Low
454,629,374,4,9,5,84,2,119,Low
455,663,391,2,7,5,81,2,102,Low
456,646,357,3,7,1,60,1,136,Low
457,731,476,4,6,5,80,2,85,Low
458,731,527,2,5,2,86,3,85,Low
459,323,221,1,3,1,77,1,0,Low
460,646,323,1,3,1,45,1,119,Low
461,595,323,1,1,5,73,1,119,Low
462,833,476,3,5,2,98,2,119,Low
463,663,340,2,5,1,39,1,170,Low
464,731,493,2,3,2,80,2,85,Low
465,901,544,1,1,1,68,2,153,Low
466,748,289,3,3,1,45,1,170,Low
467,1020,561,6,6,1,67,2,170,Low
468,884,867,5,7,1,36,2,17,Low
469,663,663,2,3,1,2049,1,17,Low
470,1071,646,4,7,1,75,3,136,Low
471,799,799,4,5,1,36,1,17,Low
472,476,289,3,9,1,78,1,85,Low
473,612,306,2,3,1,42,1,119,Low
474,782,374,1,1,1,51,1,119,Low
475,901,544,3,8,1,51,2,153,Low
476,1071,731,2,7,1,84,3,119,Low
477,867,510,5,6,1,39,2,153,Low
478,1122,612,4,5,6,37,2,272,Low
479,544,306,8,10,1,76,1,102,Low
480,1105,663,3,3,1,68,3,119,Low
481,527,340,1,2,1,83,1,68,Low
482,425,221,2,2,1,77,1,85,Low
483,782,476,1,1,1,82,2,85,Low
484,1547,1071,3,5,2,98,4,153,Low
485,646,323,3,4,1,65,1,136,Low
486,629,323,6,7,1,40,1,119,Low
487,782,476,8,9,1,82,2,85,Low
488,850,527,2,7,2,80,2,136,Low
489,527,323,9,9,1,86,1,85,Low
490,748,306,1,2,4,38,1,204,Low
491,1326,782,3,9,1,51,3,136,Low
492,1037,561,8,8,5,41,2,153,Low
493,1411,799,3,4,1,48,3,136,Low
494,731,459,3,9,2,88,2,85,Low
495,544,306,2,9,1,76,1,102,Low
496,629,323,3,4,5,67,1,153,Low
497,1105,595,1,2,1,36,1,17,Low
498,867,510,2,5,1,57,2,136,Low
499,527,527,1,6,4,36,1,17,Low
500,1003,697,1,2,5,84,3,102,Low
501,1020,561,4,4,1,48,2,221,Low
502,799,510,1,2,1,77,2,119,Low
503,663,323,7,9,5,69,1,119,Low
504,544,306,4,6,1,76,1,102,Low
505,629,289,2,2,1,38,1,170,Low
506,969,646,4,4,1,82,3,102,Low
507,663,272,7,9,1,44,1,170,Low
508,1343,799,1,6,1,37,3,153,Low
509,714,527,5,5,2,85,3,85,Low
510,1054,578,9,9,4,44,2,187,Low
511,1071,561,5,6,1,40,2,204,Low
512,714,289,8,10,1,63,1,170,Low
513,901,527,1,6,1,67,2,136,Low
514,646,323,1,1,1,42,1,119,Low
515,629,323,1,10,1,61,1,153,Low
516,901,476,4,7,1,42,2,153,Low
517,697,697,1,6,1,36,2,17,Low
518,1258,663,1,7,1,36,2,238,Low
519,1139,782,5,5,1,89,3,136,Low
520,901,510,1,1,1,73,2,136,Low
521,697,442,1,8,1,82,2,85,Low
522,493,272,6,7,1,78,1,102,Low
523,697,289,1,3,1,37,1,170,Low
524,663,629,2,10,1,36,1,17,Low
525,408,238,1,4,2,84,1,51,Low
526,799,510,3,6,1,81,2,102,Low
527,306,238,1,6,2,80,1,17,Low
528,629,340,2,2,1,72,1,136,Low
529,561,306,4,6,5,79,1,153,Low
530,646,323,2,9,1,49,1,119,Low
531,1071,663,3,3,1,80,3,136,Low
532,1054,748,6,6,1,71,3,102,Low
533,646,323,5,5,1,56,1,136,Low
534,663,289,1,7,1,47,1,136,Low
535,765,323,1,10,1,37,1,17,Low
536,1190,714,2,2,1,58,3,170,Low
537,1173,816,1,1,2,124,3,136,Low
538,561,323,4,6,2,88,1,102,Low
539,1071,663,3,7,1,76,3,136,Low
540,748,476,1,1,1,80,2,85,Low
541,731,493,2,6,1,89,2,85,Low
542,782,782,1,10,6,36,1,0,Low
543,1411,884,2,3,1,40,3,136,Low
544,646,306,4,6,1,41,1,153,Low
545,663,340,5,7,1,61,1,136,Low
546,544,306,5,10,1,78,1,102,Low
547,544,306,3,7,1,81,1,102,Low
548,1309,782,4,7,1,70,3,170,Low
549,1292,765,1,7,1,50,3,170,Low
550,663,391,1,3,5,81,2,102,Low
551,867,510,5,5,1,42,2,153,Low
552,595,595,6,10,1,2050,1,0,Low
553,748,476,1,1,1,83,2,85,Low
554,578,306,1,7,1,34,1,136,Low
555,850,612,5,9,2,122,3,85,Low
556,867,527,3,3,2,92,2,136,Low
557,799,782,1,1,2,35,2,153,Low
558,918,544,2,5,1,54,2,153,Low
559,1309,782,2,2,1,64,3,170,Low
560,1071,731,1,1,1,78,3,119,Low
561,510,510,7,9,5,91,1,85,Low
562,697,306,6,9,1,2049,1,17,Low
563,901,510,6,7,1,62,2,136,Low
564,629,408,5,10,2,78,2,102,Low
565,867,510,1,1,1,39,2,153,Low
566,561,289,6,8,1,83,1,153,Low
567,646,306,2,3,1,39,1,119,Low
568,1003,748,1,3,1,76,3,102,Low
569,867,408,1,2,1,38,1,204,Low
570,646,646,3,10,4,36,1,17,Low
571,714,340,1,2,6,38,1,170,Low
572,493,238,1,10,2,81,1,102,Low
573,782,782,1,2,4,36,1,17,Low
574,901,901,6,10,1,2050,2,0,Low
575,901,510,3,7,1,75,2,119,Low
576,340,204,2,2,2,78,1,34,Low
577,595,323,7,10,1,64,1,153,Low
578,697,459,1,7,2,89,2,85,Low
579,629,323,2,7,1,55,1,136,Low
580,595,340,8,9,5,78,1,153,Low
581,493,493,2,4,1,36,1,17,Low
582,884,493,5,7,1,59,2,136,Low
583,697,306,1,3,4,36,1,17,Low
584,646,306,4,6,1,40,1,119,Low
585,765,476,3,7,5,85,2,85,Low
586,918,493,3,8,1,46,2,136,Low
587,561,289,3,8,1,84,1,119,Low
588,646,272,2,4,1,58,1,153,Low
589,306,187,9,9,2,82,1,51,Low
590,867,510,6,8,1,57,2,136,Low
591,629,374,2,2,1,86,2,119,Low
592,578,289,2,5,1,69,1,102,Low
593,1258,765,3,10,1,54,3,170,Low
594,816,578,1,1,1,71,2,102,Low
595,561,306,6,9,5,84,1,153,Low
596,884,527,2,10,1,73,2,153,Low
597,646,323,5,5,1,43,1,119,Low
598,799,544,1,10,5,78,2,136,Low
599,646,306,3,3,1,54,1,136,Low
600,629,323,2,6,1,70,1,153,Low
601,629,289,1,9,4,38,1,170,Low
602,527,306,4,9,2,86,1,85,Low
603,1190,748,2,2,5,79,3,153,Low
604,714,306,4,5,4,38,1,17,Low
605,561,289,4,8,5,83,1,153,Low
606,1292,782,9,9,1,41,3,136,Low
607,1088,1071,6,7,6,35,3,0,Low
608,680,646,1,2,4,36,1,17,Low
609,782,782,2,10,1,36,1,17,Low
610,646,323,1,4,1,43,1,170,Low
611,510,323,4,9,2,83,1,102,Low
612,663,357,7,7,1,59,1,136,Low
613,544,306,1,4,1,73,1,102,Low
614,646,289,3,3,6,37,1,170,Low
615,1122,782,3,3,5,56,3,119,Low
616,1309,782,3,8,1,50,3,170,Low
617,714,323,10,10,1,42,1,136,Low
618,425,255,6,8,2,86,1,51,Low
619,986,544,2,2,1,61,2,170,Low
620,918,476,1,4,1,71,2,187,Low
621,612,340,3,6,1,71,1,136,Low
622,765,493,1,1,1,80,2,102,Low
623,1190,714,2,3,1,59,3,153,Low
624,799,510,2,8,1,68,2,102,Low
625,544,306,1,4,1,76,1,102,Low
626,697,289,5,6,1,2050,1,170,Low
627,663,425,5,9,2,86,2,85,Low
628,1632,1054,3,4,1,2049,4,170,Low
629,901,510,3,5,1,57,2,136,Low
630,680,646,4,9,4,36,1,17,Low
631,714,323,6,8,1,43,1,136,Low
632,629,323,2,3,1,59,1,136,Low
633,748,510,6,8,1,74,2,85,Low
634,1122,612,1,4,6,37,2,272,Low
635,952,680,6,7,2,84,3,85,Low
636,544,357,1,1,5,88,1,85,Low
637,1071,578,8,10,1,38,2,153,Low
638,646,306,1,1,1,63,1,136,Low
639,595,357,2,4,1,71,1,102,Low
640,680,306,1,3,4,36,1,17,Low
641,1275,680,2,7,1,56,3,136,Low
642,544,527,5,7,1,2049,1,17,Low
643,748,493,1,2,1,76,2,102,Low
644,799,17,2,2,1,36,1,17,Low
645,1071,765,6,10,1,70,3,102,Low
646,646,323,4,4,5,68,1,170,Low
647,629,306,2,2,1,52,1,119,Low
648,731,476,3,3,2,88,2,85,Low
649,918,544,1,1,1,42,2,153,Low
650,646,340,8,10,1,49,1,136,Low
651,578,323,3,3,5,78,1,153,Low
652,1105,731,4,4,5,75,3,170,Low
653,646,646,3,6,1,2050,1,0,Low
654,680,680,2,7,1,36,1,17,Low
